Customer_ID,Age,Income,Loan_Amount,Credit_Score,Loan_Term,Default_Status
CUST100486,32,31275.99,258457.85,803,24,Yes
CUST100487,23,76449.4,248485.72,681,60,No
CUST100488,21,97596.93,153947.32,730,84,No
CUST100489,53,81879.19,249775.89,816,72,No
CUST100490,60,69939.9,140395.53,467,60,Yes
CUST100491,30,55268.21,135395.38,795,36,Yes
CUST100492,63,42695.91,153390.64,684,24,Yes
CUST100493,64,90868.78,142504.7,719,84,No
CUST100494,49,92844.29,137088.22,605,36,No
CUST100495,33,31356.76,218603.89,612,24,Yes
CUST100496,32,109745.97,159008.14,723,72,No
CUST100497,51,84351.78,192748.91,850,36,Yes
CUST100498,22,104989.87,211882.83,770,36,No
CUST100499,55,36446.81,173291.15,793,24,Yes
CUST100500,43,35854.4,91783.72,662,60,Yes
CUST100501,37,66275.77,68828.05,625,12,Yes
CUST100502,46,82569.61,158926.84,609,60,No
CUST100503,28,114909.02,139724.62,636,12,No
CUST100504,49,87651.97,155243.49,495,24,Yes
CUST100505,46,63932.97,149036.76,614,48,No
CUST100506,30,44340.77,305014.42,629,60,Yes
CUST100507,46,100750.01,70186.42,664,36,No
CUST100508,54,45882.36,30603.22,691,60,Yes
CUST100509,61,110711.71,169942.61,712,24,No
CUST100510,27,62890.38,127414.65,678,48,Yes
CUST100511,24,109764.55,168964.07,627,48,No
CUST100512,65,86973.28,185032.98,503,60,Yes
CUST100513,31,66575.11,227046.28,628,60,Yes
CUST100514,49,57015.09,59566.45,592,72,No
CUST100515,56,61477.3,116596.93,721,60,No
CUST100516,45,80707.92,175725.68,761,24,Yes
CUST100517,41,71928.91,196227.82,764,12,Yes
CUST100518,56,55154.71,281606.97,748,72,Yes
CUST100519,30,65859.21,207342.24,667,12,No
CUST100520,57,71964.43,146592.68,633,36,No
CUST100521,29,20000.0,96573.85,612,84,Yes
CUST100522,44,81454.2,116142.61,544,24,No
CUST100523,55,45506.97,114437.83,769,72,No
CUST100524,55,41166.69,189314.02,664,48,No
CUST100525,56,27816.39,165419.85,567,72,Yes
CUST100526,38,25152.69,70581.03,605,36,No
CUST100527,59,36113.81,123845.91,601,48,Yes
CUST100528,52,52274.48,202652.85,683,72,Yes
CUST100529,44,118831.48,171099.74,776,48,No
CUST100530,43,56853.01,184118.68,648,60,Yes
CUST100531,52,74443.75,172975.3,477,48,Yes
CUST100532,57,80012.03,247585.84,662,72,No
CUST100533,32,73276.63,164162.58,665,48,Yes
CUST100534,33,68063.91,126838.63,659,24,No
CUST100535,43,40117.66,95054.7,623,60,No
CUST100536,45,106273.19,164976.57,699,60,Yes
CUST100537,55,115179.92,5000.0,685,36,No
CUST100538,61,27933.53,138942.66,677,60,No
CUST100539,50,44399.29,137649.61,717,12,Yes
CUST100540,37,63004.74,68131.75,641,24,No
CUST100541,40,45886.56,94304.05,636,36,No
CUST100542,45,82649.14,198579.45,804,12,Yes
CUST100543,42,51793.19,163842.7,730,48,Yes
CUST100544,33,124126.4,156107.3,754,84,No
CUST100545,39,99763.71,168380.85,790,12,No
CUST100546,56,75314.35,155557.66,727,36,No
CUST100547,32,95674.66,224571.75,763,60,No
CUST100548,61,97647.51,157405.75,537,24,No
CUST100549,39,55901.31,62507.21,698,84,Yes
CUST100550,32,49594.57,247807.8,663,36,No
CUST100551,29,71953.58,172220.42,830,12,No
CUST100552,27,91540.9,114644.78,763,84,No
CUST100553,48,73476.51,74795.9,623,12,No
CUST100554,34,30575.09,173754.85,713,36,No
CUST100555,51,49929.39,142969.68,695,84,No
CUST100556,39,68150.68,244448.81,720,72,Yes
CUST100557,36,68108.36,129245.56,588,72,No
CUST100558,25,119313.55,99757.15,712,36,No
CUST100559,55,35350.3,203747.77,659,72,Yes
CUST100560,32,82639.73,205516.91,705,36,No
CUST100561,45,107227.83,160119.08,614,60,No
